Name,Sales Optioiins,Sales Type,Storefront Sales Status,Sales Options,Grocery Sales,Address,Website,Facebook,Twitter,Instagram,LastModified
1369 Coffee House,"Delivery, Take Out",,Open,"Delivery, Take Out",yes,757 Mass Ave,,https://www.facebook.com/1369Coffeehouse/,https://twitter.com/1369coffeehouse?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/1369coffeehouse/?hl=en,2020-06-16T17:08:30Z
1369 Coffee House,"Delivery, Take Out, Outdoor Dining",,Open,"Delivery, Take Out, Outdoor Dining",,1369 Cambridge Street,,https://www.facebook.com/1369Coffeehouse/,https://twitter.com/1369coffeehouse,https://www.instagram.com/1369coffeehouse/?hl=en,2020-07-10T15:24:36Z
2 4-1 Optical,,,Open,,,1128 Massachusetts Ave,,https://www.facebook.com/241optical/,,,2020-06-16T17:09:04Z
5th Street Laundromat,,,Open,,,58 5th Street,,,,,2020-03-22T12:45:32Z
7-Eleven,,,Open,,,All locations are open,,,,,2020-06-09T17:16:46Z
730 Tavern,"Delivery, Take Out, Outdoor Dining, Indoor Dining",,Open,"Delivery, Take Out, Outdoor Dining, Indoor Dining",,730 Massachusetts Ave,,https://www.facebook.com/730tavern/,,https://www.instagram.com/p/B9uqJpAgWJz/,2020-10-07T20:17:47Z
9Zaab Thai Street Food,"Delivery, Take Out",,Open,"Delivery, Take Out",,569 Cambridge St,,https://www.facebook.com/9Zaab/,,https://www.instagram.com/9Zaab/,2020-06-09T17:16:46Z
A&E Citgo Service Station,,,Open,,,199 Concord Ave,,,,,2020-03-22T13:56:16Z
Abbey,"Delivery, Take Out, Outdoor Dining, Indoor Dining",,Open,"Delivery, Take Out, Outdoor Dining, Indoor Dining",,1755 Mass. Ave.,,https://www.facebook.com/abbey2cambridge/,https://twitter.com/Abbey2Cambridge,https://www.instagram.com/abbey2cambridge/,2020-10-07T20:17:47Z
ABC Pizza House,"Delivery, Take Out",,Open,"Delivery, Take Out",,744 Massachusetts Ave,,,,,2020-10-07T20:19:07Z
Abide Place,Take Out,,Open,Take Out,,317 Massachusetts Ave,,,,https://www.instagram.com/abidecambridge/,2020-07-31T20:28:17Z
Abodeon,Online Sales,Online Sales,Open,,,1731 Mass. Ave.,,https://www.facebook.com/abodeon/,https://twitter.com/abodeon/,,2020-07-05T23:01:47Z
